Stock,Model,VaR95,VaR99,ViolRate95,ViolRate99,Kupiec_LR95,Kupiec_p95,Kupiec_LR99,Kupiec_p99
Apple,CNN1D,-0.016138908,-0.04982187,0.47962382445141066,0.45768025078369906,,0.0,,0.0
Apple,LSTM,-0.076686695,-0.18475643,0.43573667711598746,0.3605015673981191,,0.0,,0.0
Apple,MLP,-0.29530177,-0.41606498,0.29153605015673983,0.22413793103448276,,0.0,inf,0.0
Apple,Transformer,-0.0005743697,-0.0005743697,0.49294670846394983,0.49294670846394983,,0.0,,0.0
Infosys,CNN1D,-0.058233447,-0.08299521,0.4557661927330174,0.4304897314375987,,0.0,,0.0
Infosys,LSTM,-0.034491785,-0.046402756,0.4676145339652449,0.46524486571879936,,0.0,,0.0
Infosys,MLP,-0.101246856,-0.20992655,0.4154818325434439,0.3420221169036335,,0.0,,0.0
Infosys,Transformer,-0.0024616662,-0.0024616662,0.48894154818325436,0.48894154818325436,,0.0,,0.0
Reliance,CNN1D,-0.0642253,-0.12361594,0.4265402843601896,0.3696682464454976,,0.0,,0.0
Reliance,LSTM,0.0076199253,0.0015353349,0.5023696682464455,0.4921011058451817,,0.0,,0.0
Reliance,MLP,-0.20002183,-0.3111592,0.3104265402843602,0.21642969984202212,,0.0,inf,0.0
Reliance,Transformer,-0.00038542505,-0.00038542505,0.490521327014218,0.490521327014218,,0.0,,0.0
Tesla,CNN1D,-0.044254333,-0.059325557,0.48731642189586116,0.4779706275033378,inf,0.0,inf,0.0
Tesla,LSTM,0.005276077,-0.0032510203,0.514018691588785,0.5060080106809078,inf,0.0,inf,0.0
Tesla,MLP,-0.3757872,-0.5761241,0.34579439252336447,0.26702269692923897,inf,0.0,inf,0.0
Tesla,Transformer,0.0022738057,0.0022738057,0.5126835781041389,0.5126835781041389,inf,0.0,inf,0.0
